,DF,DF_acc,Fmax,Fmax_acc,SF,gender,height,id,mass,speed,stride_frequency_acc,tc,tc_acc,tce,tce_acc,tf,tf_acc,tfe,tfe_acc
155,32.73626145847188,34.71060116709183,2.72178007645333,2.5810642201834857,1.4663961949960134,1.0,1.805,60.0,71.0,13.0,1.4662478430183692,223.25,236.74930000000003,142.2499999999999,167.44173500000002,117.74999999999996,104.1854,198.75000000000009,173.33745000000002
156,34.76345343821374,34.63182113187359,2.622423573743637,2.58467125382263,1.298342607490715,1.0,1.9080000000000001,61.0,69.0,9.0,1.2979089578479464,267.7499999999999,266.83582,167.99999999999997,187.92726,117.50000000000009,118.48222999999999,217.50000000000009,197.54069999999996
157,32.77256339652121,34.48412346778,2.6984690230700386,2.594067278287462,1.333601542968107,1.0,1.9080000000000001,61.0,69.0,11.0,1.333205706866885,245.74999999999991,258.66578,159.24999999999994,183.159895,129.25000000000006,116.43667,216.00000000000006,192.03289
158,30.016278146007966,34.23504086294323,2.9063798656866253,2.611622324159021,1.3505751367468097,1.0,1.9080000000000001,61.0,69.0,13.0,1.3509749734581906,222.24999999999983,253.41774999999998,150.2500000000002,180.752865,147.75000000000014,116.657925,219.99999999999986,189.27617000000004
159,41.12608612897937,38.51547801408704,2.202755400459326,2.216433231396534,1.365286779940265,1.0,1.8530000000000002,62.0,82.0,9.0,1.3661853127698382,301.25000000000006,281.94435999999996,181.74999999999997,179.57568499999996,64.75,83.89472,184.5,186.43823
160,36.86939472709776,37.36465991212791,2.357927846252184,2.304151376146789,1.3861282482669517,1.0,1.8530000000000002,62.0,82.0,11.0,1.3859572252752363,266.0000000000001,269.598965,171.99999999999997,177.08370499999998,94.99999999999989,91.27349999999998,189.00000000000006,183.96435499999998
161,34.083030052092944,36.75740446595983,2.497379180806474,2.3610805300713555,1.398190594219654,1.0,1.8530000000000002,62.0,82.0,13.0,1.398454583411221,243.74999999999994,262.848305,164.5,175.57188000000002,113.74999999999997,94.60201000000004,192.99999999999997,181.64727000000002
162,34.99672330192307,34.609231646780486,2.465297553243229,2.586605504587156,1.4056209496851406,1.0,1.827,63.0,70.0,9.0,1.4061438551244387,248.99999999999994,246.162745,157.50000000000009,174.629825,106.50000000000004,109.248315,197.74999999999994,180.787705
163,33.15785158802841,34.74952503506657,2.5848365677468945,2.5740091743119264,1.4155204541404725,1.0,1.827,63.0,70.0,11.0,1.414879670427935,234.25000000000014,245.61463000000003,153.7500000000002,173.28298999999998,119.24999999999993,107.74283499999999,200.24999999999977,180.36885
164,32.00581414543089,34.93312617361057,2.6119892136759892,2.5494490316004077,1.4616268626451905,1.0,1.827,63.0,70.0,13.0,1.4629567865467759,219.0,238.80397000000002,148.75,167.94646500000005,123.00000000000004,102.92969000000002,193.25000000000003,174.22653000000003
165,37.04659037189195,35.654802310183726,2.4395717555703276,2.486426605504587,1.3340177829472726,0.0,1.722,64.0,73.0,9.0,1.3383067586913129,277.7499999999999,266.4488,165.24999999999983,184.132765,97.00000000000009,106.959115,209.25000000000023,189.32151499999995
166,34.211855645720604,35.77739987579152,2.5190027686104033,2.5044332313965336,1.3365428485088773,0.0,1.722,64.0,73.0,11.0,1.3388929484073975,256.0000000000001,267.23949000000005,163.0,184.54185,117.99999999999993,106.11903500000001,210.75000000000006,189.407095
167,33.455800621964116,35.966140577253846,2.6021860502775898,2.4850280326197756,1.448285996758306,0.0,1.722,64.0,73.0,13.0,1.4487355452766801,230.99999999999994,248.266465,146.25000000000003,171.33867999999998,114.25,96.83870999999999,198.74999999999997,173.53685000000002
168,34.470001147851605,34.8983472948163,2.5064764067677423,2.574458205912335,1.3219815593649478,1.0,1.8,65.0,67.0,9.0,1.3216502341364729,260.75000000000006,264.05797999999993,168.75000000000006,186.488005,117.50000000000004,114.46317499999998,209.74999999999991,192.11982
169,32.2071274063899,34.92073658903168,2.633629004553091,2.57149745158002,1.3132772892310989,1.0,1.8,65.0,67.0,11.0,1.313090787480927,245.25000000000006,265.95189999999997,163.5,187.87400999999997,135.2499999999999,114.71263500000002,216.75,192.48930499999997
170,30.137653149484738,34.7435479989273,2.770753943878682,2.610600917431193,1.3410425309461833,1.0,1.8,65.0,67.0,13.0,1.3412035152767556,224.75,259.068075,152.00000000000023,184.15693000000005,147.99999999999994,113.76701000000003,221.24999999999977,188.57136
171,34.56963347891666,35.65541930662065,2.4795500007844966,2.6955254841997958,1.2118228253038779,0.0,1.742,66.0,66.0,9.0,1.2120540387857768,285.2500000000001,294.1767999999999,181.75000000000003,196.43873499999998,127.24999999999982,118.24747500000001,230.49999999999991,216.41348999999997
172,32.12430645901418,34.25026941817984,2.63886960561554,2.581585626911315,1.2523928570192369,0.0,1.742,66.0,66.0,11.0,1.251937491297129,256.5000000000001,273.590175,169.25000000000006,187.56387999999998,142.75000000000003,125.80519999999999,230.0,203.339895
173,29.50500218008412,34.2686950387929,2.8034234171694825,2.542687054026504,1.3366609641042446,0.0,1.742,66.0,66.0,13.0,1.336931126868008,220.74999999999991,256.35170000000005,152.49999999999994,181.06099,153.25000000000014,117.76502999999998,221.50000000000014,192.91466499999999
174,35.70744501938459,36.616849912813926,2.330325458134469,2.3663797145769623,1.3299552126008856,0.0,1.756,67.0,70.0,9.0,1.331971556512484,268.4999999999998,274.93947,175.25000000000028,184.04424500000005,107.50000000000009,100.052665,200.99999999999972,191.229755
175,33.27709340128157,36.09494845746051,2.4494447809274904,2.4355626911314987,1.3967338553987205,0.0,1.756,67.0,70.0,11.0,1.3973446720259386,238.24999999999991,258.31994000000003,161.75000000000003,176.15175500000004,119.50000000000007,99.539915,195.74999999999994,181.15102
176,31.277788895215203,35.94948648626479,2.5983391558797484,2.450183995922528,1.461596415683797,0.0,1.756,67.0,70.0,13.0,1.4605782487588577,213.99999999999994,246.14212500000002,148.0000000000001,168.854475,128.25000000000006,96.38532000000001,194.4999999999999,173.81465500000002
177,37.828418873044605,37.30488925859507,2.2718044166657587,2.3000662589194696,1.32148832651554,1.0,1.865,68.0,75.0,9.0,1.3209540075029833,286.24999999999994,282.411705,178.49999999999994,184.37486499999997,92.25,96.24026499999998,200.25000000000006,194.12463
178,34.637523349386086,36.41007316377956,2.4185755253867063,2.37474872579001,1.3373841239790836,1.0,1.865,68.0,75.0,11.0,1.3369066492566637,259.0,272.35218499999996,171.74999999999994,182.82183500000002,115.00000000000007,101.85823500000001,202.50000000000017,191.022685
179,32.79588598323416,36.4047846715142,2.478411914364937,2.377386340468909,1.372341078250721,1.0,1.865,68.0,75.0,13.0,1.371220475563343,239.0,265.509465,165.49999999999994,178.16001999999997,125.75000000000003,99.3914,199.25,186.199275
180,37.78193843105664,35.1709007021165,2.3186696685887926,2.49505249745158,1.420603194953607,0.0,1.577,69.0,58.0,9.0,1.421386208716286,265.99999999999994,247.473995,168.74999999999994,172.275985,85.50000000000007,104.15474499999998,183.00000000000003,179.93068
181,34.81580721695665,34.633579932753356,2.470453017501523,2.5754811416921504,1.4462379503845813,0.0,1.577,69.0,58.0,11.0,1.445761111834964,240.74999999999994,239.56948999999994,158.50000000000003,169.90570000000002,105.00000000000003,106.14611499999998,186.99999999999997,176.04099000000002
182,32.38184845732708,34.48616756819952,2.571802749455486,2.6112273190621806,1.4977993234140317,0.0,1.577,69.0,58.0,13.0,1.4971249703623843,216.24999999999991,230.36535999999995,146.24999999999986,164.60488999999998,117.50000000000007,103.92227499999998,187.7500000000001,169.73350999999997
183,36.40444142784243,35.988281248138726,2.376227846934489,2.397487257900102,1.321666290295034,0.0,1.68,70.0,69.0,9.0,1.3223733267960678,275.4999999999999,272.20548,172.50000000000009,184.38737499999996,102.75000000000003,105.65997999999999,205.99999999999994,193.703465
184,35.438143810579575,36.04431397517196,2.385441904891282,2.3815417940876658,1.4161148254667362,0.0,1.68,70.0,69.0,11.0,1.416390586079607,250.24999999999994,254.503145,165.75000000000009,172.35773499999996,102.50000000000007,98.44210000000001,186.99999999999994,181.449605
185,31.917974917874744,36.24141639705174,2.567190410649188,2.382913863404689,1.4694460881549776,0.0,1.68,70.0,69.0,13.0,1.4684857414229635,217.25000000000006,246.83332999999993,147.50000000000006,165.61362499999998,123.75,94.21345000000001,193.99999999999994,175.55779
186,39.290445617867675,37.41202080898009,2.3880846106897353,2.3018858307849137,1.5273759381788197,1.0,1.735,72.0,67.0,9.0,1.527742699928893,257.25000000000006,244.89257000000003,142.9999999999999,161.12482500000002,70.25000000000001,82.44607,184.50000000000006,166.23998
187,35.7903973838932,36.98326512931271,2.487442670890826,2.3407889908256885,1.5595664058165029,1.0,1.735,72.0,67.0,11.0,1.5584317371198304,229.50000000000009,237.336355,138.50000000000006,157.450755,91.49999999999991,83.1156,182.49999999999983,163.42021000000003
188,33.25534034556165,36.68207358997143,2.6509473318613472,2.3735973496432208,1.5950628178632473,1.0,1.735,72.0,67.0,13.0,1.5944473092753535,208.5,230.07148500000002,129.00000000000009,154.44511,104.99999999999993,84.01091500000001,184.74999999999991,159.60420999999997
189,37.5431247084356,35.73342398551442,2.5697698301686605,2.4592415902140674,1.438402077998827,1.0,1.885,73.0,73.0,9.0,1.4390813611529272,261.00000000000006,248.31416000000004,145.75000000000006,170.68350500000003,86.49999999999997,99.266755,201.49999999999994,177.02991000000003
190,34.1888009468357,34.83697517264619,2.7672461542418794,2.5659475025484193,1.464265950166678,1.0,1.885,73.0,73.0,11.0,1.4638946112648494,233.5,237.995505,138.00000000000003,167.49791999999997,107.99999999999997,103.45245,203.74999999999994,173.55258000000003
191,31.830479457833086,35.06548028035809,2.8460622436076846,2.541419469928644,1.4668945276996042,1.0,1.885,73.0,73.0,13.0,1.466136109433077,217.00000000000006,239.17543999999998,135.99999999999994,167.66933,124.0,102.05558500000001,205.00000000000009,173.34652
192,37.39190198099772,35.5809445020227,2.4251151763261873,2.4684949031600407,1.4110252490159592,1.0,1.8,74.0,69.0,9.0,1.4104509294858087,265.00000000000006,252.27330500000002,156.99999999999997,174.06125500000002,89.49999999999999,102.25127499999999,197.50000000000003,180.28139000000004
193,34.02172177000174,34.94321294018376,2.6215453588494233,2.556954638124363,1.4447492835862343,1.0,1.8,74.0,69.0,11.0,1.4421217998097315,235.49999999999991,242.32950999999997,146.50000000000003,170.65493999999998,110.50000000000004,104.55369,199.49999999999994,176.21018500000002
